Date,U_Wind
2015-05-16,-12.041793823242188
2015-05-17,-12.402435302734375
2015-05-18,-12.474838256835938
2015-05-19,-12.619049072265625
2015-05-20,-12.794303894042969
2015-05-21,-12.870086669921875
2015-05-22,-12.810447692871094
2015-05-23,-12.4132080078125
2015-05-24,-12.537322998046875
2015-05-25,-12.623580932617188
2015-05-26,-12.558311462402344
2015-05-27,-12.827407836914062
2015-05-28,-12.914154052734375
2015-05-29,-12.807815551757812
2015-05-30,-12.812606811523438
2015-05-31,-13.088676452636719
2015-06-01,-13.351531982421875
2015-06-02,-13.316398620605469
2015-06-03,-13.127403259277344
2015-06-04,-12.811820983886719
2015-06-05,-12.695480346679688
2015-06-06,-12.709564208984375
2015-06-07,-12.422920227050781
2015-06-08,-12.192329406738281
2015-06-09,-12.382591247558594
2015-06-10,-12.459854125976562
2015-06-11,-12.699653625488281
2015-06-12,-12.761634826660156
2015-06-13,-12.705718994140625
2015-06-14,-12.852935791015625
2015-06-15,-13.053939819335938
2015-06-16,-12.686470031738281
2015-06-17,-12.355636596679688
2015-06-18,-12.161064147949219
2015-06-19,-12.269752502441406
2015-06-20,-12.35076904296875
2015-06-21,-12.097671508789062
2015-06-22,-12.10565185546875
2015-06-23,-11.984832763671875
2015-06-24,-12.018463134765625
2015-06-25,-11.944869995117188
2015-06-26,-11.973526000976562
2015-06-27,-11.727287292480469
2015-06-28,-11.747970581054688
2015-06-29,-11.637886047363281
2015-06-30,-11.630302429199219
2015-07-01,-11.484283447265625
2015-07-02,-11.475517272949219
2015-07-03,-11.760566711425781
2015-07-04,-11.819419860839844
2015-07-05,-11.953880310058594
2015-07-06,-12.074996948242188
2015-07-07,-12.030441284179688
2015-07-08,-12.005699157714844
2015-07-09,-11.972938537597656
2015-07-10,-11.835739135742188
2015-07-11,-11.695388793945312
2015-07-12,-11.576431274414062
2015-07-13,-11.313079833984375
2015-07-14,-11.11407470703125
2015-07-15,-10.873329162597656
2015-07-16,-10.9127197265625
2015-07-17,-10.7525634765625
2015-07-18,-10.296981811523438
2015-07-19,-10.023208618164062
2015-07-20,-9.742446899414062
2015-07-21,-9.509979248046875
2015-07-22,-9.133697509765625
2015-07-23,-8.962432861328125
2015-07-24,-8.427497863769531
