Date,State_Avg_TMIN
2015-06-29,158.37455446219965
2015-06-30,159.66450150928597
2015-07-01,136.65466343776114
2015-07-02,142.23262189402595
2015-07-03,134.70760356089156
2015-07-04,141.1590783123284
2015-07-05,114.53521240854751
2015-07-06,96.91356993024881
2015-07-07,105.24437215410066
2015-07-08,99.78731645548034
2015-07-09,107.15813607449222
2015-07-10,133.29154373518426
2015-07-11,150.68754796459575
2015-07-12,146.91827046063065
2015-07-13,127.39560985384657
2015-07-14,121.86771151320838
2015-07-15,114.00156897522042
2015-07-16,98.44649282876001
2015-07-17,82.84473327421253
2015-07-18,101.18399218923204
2015-07-19,99.58670506676673
2015-07-20,123.73564046591744
2015-07-21,126.4415343554411
2015-07-22,123.63563108617426
2015-07-23,125.72095477258387
2015-07-24,108.01586882002832
2015-07-25,126.50723945631599
