DATE,State_Avg_TMAX
2015-07-04,349.1085790541808
2015-07-05,206.4862757303409
2015-07-06,257.5038584852568
2015-07-07,263.3218680184866
2015-07-08,285.7065867114621
2015-07-09,319.0611708477582
2015-07-10,321.1093400924331
2015-07-11,272.89608736804405
2015-07-12,283.1852563227996
2015-07-13,296.9614471238297
2015-07-14,281.097099527602
2015-07-15,276.2789492982247
2015-07-16,273.73072462779476
2015-07-17,230.5310149734809
2015-07-18,255.0260820812797
2015-07-19,299.0369114211164
2015-07-20,314.90306674966325
2015-07-21,328.20991652028584
2015-07-22,308.61340322663165
2015-07-23,268.6188882446237
2015-07-24,308.8347886146972
2015-07-25,312.9993093098215
2015-07-26,300.0305225369647
2015-07-27,200.2802923069052
2015-07-28,226.62120546753752
2015-07-29,280.66964544570834
2015-07-30,313.3406637447345
