Date,State_Avg_RHMX
2015-07-13,70.5481330047581
2015-07-14,79.14619182427478
2015-07-15,77.47582371199073
2015-07-16,77.71523526101267
2015-07-17,82.2214109691833
2015-07-18,83.34076820096527
2015-07-19,73.62254847621809
2015-07-20,70.11791829391
2015-07-21,75.68574449579617
2015-07-22,74.12258471613487
2015-07-23,79.78272251308901
2015-07-24,76.18027226836297
2015-07-25,64.03602247727544
2015-07-26,76.4029665569521
2015-07-27,92.60146963521328
2015-07-28,84.00756561556697
2015-07-29,78.63279584562649
2015-07-30,77.43574236403634
2015-07-31,70.70415863703806
2015-08-01,66.48745459351603
2015-08-02,69.52160325391817
2015-08-03,67.268930027116
2015-08-04,76.55180389515152
2015-08-05,88.39103722905332
2015-08-06,83.00342147449562
2015-08-07,76.78858911608711
2015-08-08,82.46676160103691
